,title,link
64,Parzinger's misconceptions and misrepresentations of the ...,https://blog.uni-koeln.de/gssc-humboldt/en/parzingers-misconceptions-and-misrepresentations-of-the-restitution-of-african-artefacts/
65,Church of England to return Benin Bronzes as repatriation row ...,https://www.standard.co.uk/culture/exhibitions/church-england-return-benin-bronzes-repatriation-rows-b928330.html
66,"The Brutish Museums: The Benin Bronzes, Colonial Violence ...",https://booksupstairs.ie/product/the-brutish-museums-the-benin-bronzes-colonial-violence-and-cultural-restitution/
67,Benin Bronzes | British Museum,https://www.britishmuseum.org/about-us/british-museum-story/objects-news/benin-bronzes
68,Boasblogs » BENIN BRONZES,https://boasblogs.org/dcntr/benin-bronzes-something-grave-happened-and-imperial-rule-of-law-is-sustaining-it/
69,"The Brutish Museums: The Benin Bronzes, Colonial Violence ...",https://marxedproject.org/event/the-brutish-museums-the-benin-bronzes-colonial-violence-and-cultural-restitution/
70,"«The Brutish Museums: The Benin Bronzes, Colonial Violence ...",https://ces.uc.pt/en/agenda-noticias/agenda-de-eventos/2021/the-brutish-museums
71,Berlin plans to hand back Benin bronzes to Nigeria by autumn ...,https://www.telegraph.co.uk/news/2021/03/23/berlin-plans-hand-back-benin-bronzes-nigeria-autumn-piling-pressure/
72,"The Brutish Museums: The Benin Bronzes, Colonial Violence ...",https://africa.berkeley.edu/brutish-museums-benin-bronzes-colonial-violence-and-cultural-restitution
73,Bookmarks The Brutish Museums: The Benin Bronzes ...,https://bookmarksbookshop.co.uk/view/50409/The+Brutish+Museums+The+Benin+Bronzes+Colonial+Violence+and+Cultural+Restitution
74,"The Brutish Museums: The Benin Bronzes, Colonial Violence ...","https://www.artsmanagement.net/Books/The-Brutish-Museums-The-Benin-Bronzes-Colonial-Violence-and-Cultural-Restitution,1989"
75,The Man Who Restituted His Grandfather's Looted Benin ...,https://www.africavenir.org/news-details/archive/2015/march/article/the-man-who-restituted-his-grandfathers-looted-benin-bronzes.html?tx_ttnews%5Bday%5D=30&cHash=9806e252657264d94f784c4cbdb65e74
76,"The Brutish Museums: The Benin Bronzes, Colonial Violence ...",https://uk.bookshop.org/books/the-brutish-museums-the-benin-bronzes-colonial-violence-and-cultural-restitution/9780745341767
77,"Restitution, Repatriation, and Decolonization: What's Next For ...",https://glasstire.com/2020/12/28/restitution-repatriation-and-decolonization-whats-next-for-brutish-museums/
78,Looted Benin Bronzes to be returned to Nigeria,https://www.berliner-zeitung.de/en/looted-benin-bronzes-to-be-returned-to-nigeria-li.156249
79,"The Brutish Museums: Benin Bronzes, Colonial Violence ...",https://www.eventbrite.com/e/the-brutish-museums-benin-bronzes-colonial-violence-cultural-restitution-tickets-132877850227
80,"The Brutish Museums: The Benin Bronzes, Colonial Violence ...",https://www.vromansbookstore.com/book/9780745346229
81,"Brutish Museums, The: The Benin Bronzes, Colonial Violence ...",https://theportobellobookshop.com/product/brutish-museums-the-the-benin-bronzes-colonial-violence-and-cultural-restitution-9780745341767/
82,Germany to return bronze artifacts looted during African ...,https://www.adn.com/nation-world/2021/04/30/germany-to-return-bronze-artifacts-looted-during-african-colonial-era/
83,Four Dutch museums have 114 Benin City items in their ...,https://www.dutchnews.nl/news/2021/03/four-dutch-museums-have-114-benin-city-items-in-their-collections/
84,The Brutish Museums: The Benin Bronzes ... - Amazon.ca,https://www.amazon.ca/Brutish-Museums-Colonial-Violence-Restitution-ebook/dp/B08L5CLGSW
85,"The Brutish Museums The Benin Bronzes, Colonial Violence ...",https://www.prm.ox.ac.uk/publication/1166524/google-books
86,UK Rejection Of Restitution Of Artefacts - Appraisers ...,https://www.appraisersassociation.org/document/docWindow.cfm?fuseaction=document.viewDocument&ID=8CBFD7DDE2896922B6AFA39BD989080CF7AB421EC3AAFE62D993655DFCCCCF757650BE56EEE715EF5CA289C9869AD4DE
87,UCLA's Fowler Museum to reach out to Nigeria about ...,https://www.arts.ucla.edu/single/uclas-fowler-museum-to-reach-out-to-nigeria-about-returning-its-benin-bronzes/
88,"The Brutish Museums: the Benin Bronzes, Colonial Violence ...",https://usesofthepast.au.dk/events/show/artikel/the-brutish-museums-the-benin-bronzes-colonial-violence-and-cultural-restitution/
89,Germany to return historical 'Benin Bronzes' looted in colonial ...,https://www.dailysabah.com/arts/germany-to-return-historical-benin-bronzes-looted-in-colonial-times/news
90,Les « bronzes du Bénin » bientôt de retour au Nigeria – Jeune ...,https://www.jeuneafrique.com/1142563/culture/les-bronzes-du-benin-bientot-de-retour-au-nigeria/
91,The Haunting History of the Benin Bronzes - The Art Angle,https://artangle.libsyn.com/the-haunting-history-of-the-benin-bronzes
92,Alarm over criminalisation of Benin Bronze protester – Art Law ...,https://artlawandmore.com/2020/09/29/alarm-over-criminalisation-of-benin-bronze-protester/
93,Interviews: Finally we get to see the Benin Bronzes in Benin ...,https://www.trouw.nl/nieuws/interviews-finally-we-get-to-see-the-benin-bronzes-in-benin-city~b7b59c2c/
94,"BLM, British Museum, and Benin Bronzes: A Question of ...",http://www.hasta-standrews.com/features/2020/10/14/blm-british-museum-and-benin-bronzes-a-question-of-restitution
95,"Germany to return Benin Bronzes, looted during colonial era ...",https://thegrio.com/2021/05/02/germany-to-return-benin-bronze/
96,"Catherine Hickley on Twitter: ""Germany moves towards full ...",https://mobile.twitter.com/CathyHickley/status/1374120688919937030
97,DW Culture - Restitution of the Benin Bronzes | Facebook,https://www.facebook.com/dw.culture/videos/restitution-of-the-benin-bronzes/904359470376334/
98,Redressing the Crimes of the Past | Internationale Politik ...,https://ip-quarterly.com/en/redressing-crimes-past
99,Restitution of Art Objects: Bringing in African Perspectives ...,https://trafo.hypotheses.org/17811
100,#Slaveryarchive Book Club: The Brutish Museums: The Benin ...,https://alt-africa.com/2020/11/04/slaveryarchive-book-club-the-brutish-museums-the-benin-bronzes-colonial-violence-and-cultural-restitution-hardcover/
101,Germany to return Benin Bronzes looted during colonial era,https://www.heraldmailmedia.com/news/nation/germany-to-return-benin-bronzes-looted-during-colonial-era/article_ffa43fa2-7607-5e1a-a9ea-41b3bc4909c9.html
102,"Amid Black Lives Matter Protests, Is It Time to Repatriate ...",https://foreignpolicy.com/2020/07/28/time-repatriate-africa-looted-art-artifacts-cultural-heritage-benin-bronzes-nigeria-ghana-europe-british-museum/
103,"[PDF] The Brutish Museums The Benin Bronzes, Colonial ...",https://www.perlego.com/book/1976835/the-brutish-museums-the-benin-bronzes-colonial-violence-and-cultural-restitution-pdf
104,University to return Benin bronze | News | The University of ...,https://www.abdn.ac.uk/news/14790/
105,"The Brutish Museums : The Benin Bronzes, Colonial Violence ...",https://housmans.com/product/the-brutish-museums-the-benin-bronzes-colonial-violence-and-cultural-restitution/
106,L'Allemagne va restituer au Nigeria des « bronzes du Bénin »,https://www.lemonde.fr/afrique/article/2021/04/30/l-allemagne-va-restituer-au-nigeria-des-bronzes-du-benin_6078608_3212.html
