,surname,count,"Asian,GreaterEastAsian,EastAsian","Asian,GreaterEastAsian,Japanese","Asian,IndianSubContinent","GreaterAfrican,Africans","GreaterAfrican,Muslim","GreaterEuropean,British","GreaterEuropean,EastEuropean","GreaterEuropean,Jewish","GreaterEuropean,WestEuropean,French","GreaterEuropean,WestEuropean,Germanic","GreaterEuropean,WestEuropean,Hispanic","GreaterEuropean,WestEuropean,Italian","GreaterEuropean,WestEuropean,Nordic",race,african
2983,download,1,0.0016430967,0.0026113556,0.0044808905,0.0048739696,0.0029646337,0.9547877,0.0008654412,0.0071411775,0.00906006,0.00028393237,0.010101941,0.0006982761,0.0004875213,"GreaterEuropean,British",Non-African
2984,doyle,1,0.0007892912,0.00025703665,0.0071177203,0.0063202917,0.0043311156,0.8757267,0.0017429189,0.012809288,0.07642942,0.0012279712,0.007468631,0.0026120914,0.0031675154,"GreaterEuropean,British",Non-African
2985,dr hermann,1,0.0017061472,0.0026459165,0.00032014155,0.0007257012,0.0016932864,0.031211814,0.027881548,0.27413785,0.076403484,0.4777904,0.06807419,0.009834338,0.027575113,"GreaterEuropean,WestEuropean,Germanic",Non-African
2986,draconis,1,0.016347727,0.0076086097,0.0015139213,0.01794713,0.0026021244,0.34321818,0.051915456,0.03729312,0.08613386,0.06599322,0.04562745,0.31854424,0.0052550277,"GreaterEuropean,British",Non-African
2987,dragon,1,0.016053751,0.00727416,0.016135741,0.017847471,0.0015035772,0.44682297,0.05626281,0.16300307,0.16814241,0.0026209664,0.05254508,0.03804297,0.013745136,"GreaterEuropean,British",Non-African
2988,dresden,1,0.0016729541,0.0016528283,0.0011650906,0.0021417437,0.0012256039,0.89857024,0.0053466824,0.050761823,0.008815252,0.006628934,0.005272989,0.00899509,0.0077507035,"GreaterEuropean,British",Non-African
2989,druke,1,0.013642987,0.08973528,0.0135417655,0.041838523,0.01212048,0.6318816,0.01648533,0.04187348,0.012482054,0.07697225,0.021460874,0.010212553,0.01775285,"GreaterEuropean,British",Non-African
2990,du caire,1,0.0016981958,0.00065446063,0.0015192536,0.0053053414,0.008741988,0.297098,0.00093750004,0.0037748553,0.6345195,0.0022085055,0.024061799,0.012935182,0.00654538,"GreaterEuropean,WestEuropean,French",Non-African
2991,du carrousel,1,0.00023125045,0.00011363939,5.030896e-05,0.0014871507,0.0012833165,0.060814027,0.00038238324,0.00035093862,0.9173174,0.0022527108,0.013462093,0.0019203734,0.00033448974,"GreaterEuropean,WestEuropean,French",Non-African
2992,du nil,1,0.00010180528,0.00012530232,0.0024361187,0.00029359473,0.00095513026,0.023879994,0.00057860353,0.00043426172,0.95541686,0.00058593333,0.004273663,0.0055914572,0.00532718,"GreaterEuropean,WestEuropean,French",Non-African
